763802;0;-386;984;10107;35;510
765692;2;744;1031;10028;0;510
766222;0;711;848;10066;0;509
766868;2;1156;733;10302;0;509
767584;0;995;-346;10346;0;509
779498;1;-49;69;10055;219;508
779927;0;-51;74;10065;165;508
801948;2;-303;1099;10135;181;506
802463;0;187;890;10154;182;506
803187;1;16;432;9994;311;506
803963;0;402;-513;10026;166;507
804374;1;803;-689;9881;319;506
805114;0;-258;24;10093;99;506
806894;1;-26;12;10029;244;506
807623;0;-32;15;10055;108;506
808908;1;-919;-4;9195;204;506
809009;3;-689;-12;8947;481;506
809114;1;-546;-26;9074;937;506
809222;3;-331;-27;8957;1065;506
809328;1;-196;-19;9021;1057;506
809864;0;40;77;10155;104;506
810397;2;68;1124;10100;3;506
810803;0;706;937;9512;22;506
810904;2;1132;756;9556;18;506
812189;0;856;337;10152;141;505
814313;2;714;1009;9867;42;505
814515;0;719;968;9899;0;505
816199;2;-1051;-982;10216;21;505
817032;1;-883;-115;10024;442;505
818674;0;-598;400;10016;157;510
819972;1;-482;410;9501;373;517
820714;0;-573;430;10104;151;519
823473;2;1043;535;9916;64;512
824423;0;891;444;9992;63;509
826747;1;114;466;10041;229;509
827488;0;116;472;10034;193;509
1139378;1;215;524;9987;209;512
1139479;0;235;462;10001;69;512
1139794;1;168;489;10093;211;511
1140732;0;-239;465;10079;125;510
1144030;1;-292;465;10069;232;510
1144563;0;-257;457;10073;161;509
1146898;1;249;473;9977;241;510
1147543;0;468;207;10012;174;510
1147652;1;455;233;9986;203;510
1147763;0;431;221;9975;156;510
1148837;1;389;310;10014;222;511
1149798;0;-330;329;10067;54;512
1153253;2;-1035;509;10082;97;511
1153913;0;-996;141;10045;0;512
1155314;2;-1028;6;9479;78;511
1155415;3;-1350;764;8419;413;511
1156025;1;-638;445;9382;606;511
1165001;2;-1056;20;10061;302;509
1168554;1;-979;-184;10049;301;509
1171574;2;-1013;-456;10002;302;510
1171683;1;-984;-489;10004;304;510
1171784;2;-1016;-549;9916;304;510
1173848;1;-900;533;10189;304;509
1198545;2;-466;-1178;10009;297;508
1199393;1;-439;-868;10019;299;508
1204229;2;-482;1115;10581;297;510
1204338;1;-628;910;10228;302;510
1225989;2;-538;-1081;10026;302;508
1227323;1;-501;-962;10006;296;508
1227663;2;-453;-1116;9999;299;508
1228600;1;-464;-985;9999;297;508
1229020;2;-455;-1091;10006;297;508
1230367;1;-524;-971;10014;298;508
1252765;2;-441;1130;10257;297;508
1253187;1;-465;939;10201;297;508
1254443;2;-405;-1219;9937;300;508
1255379;1;-386;-649;10008;318;507
1259324;2;-473;-1046;9770;298;507
1259537;1;-457;-977;10040;303;507
1259850;2;-365;-1090;9935;305;507
1260068;1;-280;-853;10318;302;507
1260278;2;-202;-1168;10077;300;507
1261432;1;-571;-939;10013;301;507
