#;meas;ticks;xH;yH;zH;xL;yL;zL;magni;temp;vibr;
#;anal;ticks;fsm_sensorpack;xMean;yMean;zMean;vibrMean;tempMean;
>;tris;242743;10070.117259;0.072718;2.124902;8.696082;0.000888;0.010274;592
>;tris;245245;10069.610511;0.072328;2.127623;8.593234;0.000812;0.010759;592
>;tris;247748;10074.871727;0.072667;2.132043;7.548241;0.000784;0.009029;592
>;tris;250250;10074.301379;0.073066;2.132075;8.931916;0.000645;0.010582;592
>;tris;252753;10073.029115;0.073027;2.130009;9.457358;0.000540;0.009806;592
>;tris;255255;10073.365261;0.073290;2.123617;7.839039;0.000765;0.008493;592
>;tris;257758;10071.629797;0.073627;2.125771;5.700412;0.000759;0.010898;592
>;tris;260260;10075.373699;0.073157;2.132932;6.935217;0.000974;0.011344;592
>;tris;262763;10074.462653;0.072574;2.131252;8.232230;0.000813;0.009682;592
>;tris;265265;10073.500935;0.072435;2.132590;8.827296;0.001072;0.010295;592
>;tris;267768;10071.215753;0.072107;2.132750;9.783167;0.000998;0.014234;592
>;tris;270270;10069.932442;0.071999;2.129893;8.875117;0.000779;0.013862;592
>;tris;272773;10075.369284;0.072441;2.129196;8.846313;0.001013;0.011806;592
>;tris;275275;10074.778199;0.072731;2.129333;7.843751;0.000871;0.012262;592
>;tris;277778;10073.906817;0.072884;2.129004;7.739850;0.000671;0.011652;591
>;tris;280280;10073.719679;0.072762;2.129755;10.150376;0.000945;0.010046;591
>;tris;282783;10069.066074;0.072623;2.125172;11.775181;0.001009;0.011452;591
>;tris;285285;10063.866935;0.072395;2.120513;7.492054;0.001081;0.008317;591
>;tris;287788;10067.382592;0.072214;2.130532;7.989863;0.000943;0.009238;591
>;tris;290290;10072.349415;0.072565;2.131576;7.504211;0.000704;0.010043;591
>;tris;292793;10072.950706;0.072508;2.126966;5.299168;0.000783;0.008792;591
>;tris;295295;10072.056971;0.072569;2.124636;5.350444;0.001205;0.007926;591
>;tris;297798;10072.579700;0.072734;2.127609;8.462919;0.001316;0.008498;591
>;tris;300300;10068.059939;0.072511;2.128768;10.837863;0.000860;0.009817;591
>;tris;302803;10069.109863;0.072655;2.126705;9.643848;0.001018;0.009871;591
>;tris;305305;10075.844767;0.072759;2.129587;8.890019;0.001107;0.008325;591
>;tris;307808;10075.483363;0.072704;2.127640;10.107302;0.001063;0.011895;591
>;tris;310310;10071.337887;0.072384;2.122160;7.739188;0.001031;0.011786;591
>;tris;312813;10071.393085;0.072271;2.124043;6.538716;0.000716;0.009912;591
>;tris;315315;10069.057597;0.072339;2.127259;8.622159;0.000814;0.008706;591
>;tris;317818;10068.229107;0.072496;2.128855;11.229791;0.000786;0.009981;591
>;tris;320320;10068.726169;0.072381;2.127958;10.754906;0.000750;0.012318;591
>;tris;322823;10068.192586;0.072279;2.124712;6.456799;0.000956;0.010524;591
>;tris;325325;10073.272688;0.072425;2.122489;8.332867;0.001016;0.010544;591
>;tris;327828;10078.055199;0.072469;2.124570;7.290133;0.000811;0.011214;591
>;tris;330330;10071.583811;0.072997;2.133487;10.433056;0.000689;0.010708;590
>;tris;332833;10066.715790;0.072948;2.133324;8.582679;0.000827;0.010359;590
>;tris;335335;10071.163198;0.072584;2.127735;7.273360;0.001020;0.007222;590
>;tris;337838;10068.094026;0.072501;2.127922;6.669573;0.001011;0.008778;590
>;tris;340340;10063.948645;0.072755;2.128738;7.069241;0.000983;0.009140;590
>;tris;342843;10069.727386;0.073249;2.126244;9.811121;0.000986;0.009586;590
>;tris;345345;10072.554674;0.073248;2.123596;8.843214;0.001031;0.009158;590
>;tris;347848;10071.666181;0.072805;2.126110;10.201169;0.000996;0.008505;590
>;tris;350350;10071.994583;0.072654;2.129159;10.074755;0.000812;0.008465;590
>;tris;352853;10070.384553;0.072729;2.127054;9.069162;0.000728;0.009548;590
>;tris;355355;10070.042162;0.072591;2.129677;7.756982;0.000647;0.009604;590
>;tris;357858;10070.394916;0.072082;2.131155;5.528117;0.000910;0.007381;590
>;tris;360360;10071.732022;0.071604;2.125310;7.026900;0.000844;0.009434;590
>;tris;362863;10068.619280;0.071902;2.127174;9.107411;0.000824;0.009300;590
>;tris;365365;10068.472131;0.072825;2.129122;8.123491;0.000990;0.006965;590
>;tris;367868;10069.869936;0.073059;2.131685;8.746104;0.001149;0.010557;589
>;tris;370370;10075.231656;0.072908;2.133420;12.567580;0.001034;0.012655;589
>;tris;372873;10079.303445;0.073321;2.133186;10.842165;0.000712;0.013865;589
>;tris;375375;10076.868023;0.073444;2.142070;8.963097;0.000764;0.013965;589
>;tris;377878;10074.218645;0.073523;2.146805;7.272211;0.000682;0.009415;589
>;tris;380380;10079.614314;0.072555;2.139973;13.787214;0.001809;0.015306;589
>;anal;382884;1;-360;624;10048;273;589
>;tris;382883;10080.069675;0.072001;2.126317;16.307445;0.001668;0.019646;589
>;anal;385324;0;-406;619;10046;274;589
>;tris;385385;10071.957068;0.072575;2.125924;11.654239;0.000911;0.017451;589
>;tris;387888;10072.090585;0.072180;2.130974;6.937129;0.000945;0.016047;589
>;anal;390312;1;-378;608;10049;272;589
>;tris;390390;10077.816643;0.071345;2.116727;17.029118;0.002035;0.018992;589
>;tris;392893;10071.048882;0.072395;2.110883;22.287973;0.003280;0.012516;589
>;anal;395293;0;-366;613;10042;271;589
>;tris;395395;10064.901900;0.073052;2.116609;14.967789;0.002831;0.009388;589
>;tris;397898;10072.496492;0.072791;2.106751;12.917644;0.002198;0.011795;589
>;tris;400400;10075.692041;0.072846;2.114533;9.860168;0.001398;0.019220;589
>;tris;402903;10076.082199;0.072203;2.127801;9.730453;0.001295;0.010072;589
>;tris;405405;10078.179244;0.071864;2.117229;9.889371;0.001105;0.011934;589
>;tris;407908;10073.781759;0.071938;2.112070;12.845694;0.001193;0.014353;588
>;tris;410410;10067.262432;0.072210;2.122794;9.145063;0.001202;0.015409;589
>;anal;412894;2;-1017;798;10140;273;588
>;tris;412913;10075.650234;0.074132;2.144958;30.024498;0.008893;0.074108;588
>;tris;415415;10117.098016;0.102749;2.117224;563.636168;0.043896;0.394602;589
>;tris;417918;10104.517180;0.115429;1.769414;564.382454;0.036489;0.504727;588
>;tris;420420;10057.383073;0.115062;1.709432;49.161182;0.028922;0.381520;588
>;tris;422923;10058.236001;0.115597;1.737606;48.371287;0.028537;0.361335;589
>;anal;425399;1;71;963;9973;271;588
>;tris;425425;10047.000397;0.100410;1.504094;16.411583;0.001729;0.011769;588
>;anal;427942;2;118;960;9982;271;587
>;tris;427928;10052.800267;0.097881;1.479686;24.398111;0.003641;0.030571;587
